エピソード 3
話題: 異文化交流で感じた価値観の違い
トリガー: 国際・異文化
================================================================================

[A] 正直、Cの考え方には本当に納得いかないんだよね。どうしてそんなふうに違う価値観を押しつけてくるの？
[B] 確かに、価値観の違いって時々戸惑うよね。でも、Cも自分の文化の中で育ってきたから、自然にそうなっちゃうのかも。
[C] Aこそ、いつも自分の価値観ばっかり押しつけてくるじゃん。こっちの気持ちなんて全然考えてないだろ。
[ロボット] お互いの価値観の違いを少しずつ理解し合えるように、まず相手の立場を聞いてみるのはどうかな。
[A] いや、そもそもCが全然こっちの話を聞いてくれないから、こうやってイライラするんだよ。自分の考えだけ通そうとするのはどうかと思うよ。
[B] Aの気持ちも分かるけど、まずは冷静に話し合うのが大事かもね。お互いに譲れない部分もあるだろうし。
[C] まあ、確かに譲れない部分はあるけど、Aだって全然歩み寄ろうとしないじゃん。こっちだって自分の意見ばっかりじゃないよ。
[ロボット] まずはどんな点が譲れないのかをそれぞれ具体的に伝え合ってみると整理しやすいかもね。
[A] 譲れない部分って言われても、Cがいつも自分の文化が正しいって主張するのが納得できないんだよ。こっちの意見もちゃんと聞いてほしい。
[B] それぞれの文化が大切だからこそ、余計に意見がぶつかるんだよね。でも、少しずつ歩み寄ることも大事かなって思うよ。
[C] 歩み寄るって言うけど、こっちばっかり譲ってる気しかしないんだよな。Aも少しは理解しようとする気あるの？
[ロボット] お互いが理解してほしいと感じている部分を一度整理して、順番に話してみるのはどうかな。
[A] Cに理解しようとする気はあるけど、いつも先に否定されるから正直やる気なくすんだよ。こっちも歩み寄ってみたいとは思ってるんだけどさ。
[B] Aも歩み寄りたいって思ってるのは伝わるよ。Cも、少しだけでも相手の考えを受け入れてみるのはどうかな？
[C] Bがそう言うなら、ちょっとくらいは考えてみてもいいけどさ。でも、Aがいきなり否定してくるのはやっぱり納得できないよ。
[ロボット] まずは否定よりも、そう感じるんだねと受け止めるところから始めてみるのはどうかな。
[A] それは分かったけど、こっちだって最初から否定してるわけじゃないよ。Cがもう少し聞く姿勢を見せてくれたら、俺ももうちょっと冷静になれるかもしれない。
[B] お互いに少しずつ歩み寄る気持ちが見えてきてると思うよ。焦らずに、まずは相手の話を最後まで聞くことから始めてみようよ。
[C] 分かったよ、じゃあまずAの言いたいことをちゃんと聞くからさ。こっちの話も最後まで聞いてくれるなら、それでいいよ。
[ロボット] 相手の話を聞いたあとに、自分がどう感じたかを落ち着いて伝えてみるといいかもしれないね。
[A] じゃあ、とりあえず俺の思ってること話すから、ちゃんと聞いてくれよ。Cの話もちゃんと聞くからさ。
[B] それがいいと思うよ。まずはお互いの話をしっかり聞こう。
[C] 分かった。じゃあ、まずAの話ちゃんと聞くよ。後でこっちの考えもしっかり聞いてくれよ。
[ロボット] 話を聞くときは、途中で反応したくなっても最後まで聞くことを意識してみようか。
[A] 分かった。じゃあ、まず俺から話すね。色々あるけど、率直に言うから最後まで聞いてほしい。
[B] うん、もちろん最後まで聞くよ。率直な気持ちを聞かせて。
[C] 分かった。ちゃんと最後まで聞くから、言いたいこと全部話して。
[ロボット] Aの話を聞いたあとに、感じたことをそのまま率直に伝え合ってみよう。
[A] ありがとう。じゃあ話すけど、異文化交流で一番違和感あったのは、意見が違うとすぐに距離を置かれることかな。もっと対話したいのに、壁を感じることが多かったんだ。
[B] それ、確かにあるよね。ちょっとした違いでも距離を感じること、俺も経験あるな。
[C] 俺もそれは分かるよ。ただ、すぐに距離を取られると、こっちも話す気なくなるんだよね。もっとお互い理解しようって姿勢が欲しいよ。
[A] それなんだよな。こっちだって歩み寄ろうとしてるのに、すぐ閉じられると正直ムカつくんだよ。もっと話し合いの余地が欲しいよ。
[B] 分かるよ、せっかく歩み寄りたいって気持ちがあるのに、壁を作られると悔しいよね。もう少しオープンに話せる場が欲しいな。
[C] ほんとそれ。せっかくこっちも本音で話そうとしてるのに、相手がすぐシャットアウトしてきたら、やる気も削がれるよ。もっとオープンになれないのかなって思う。
