エピソード 2
話題: 家庭で作る発酵食品の魅力
トリガー: 食べ物
================================================================================

[A] またCが発酵食品の話を適当に片付けようとしてるんじゃないの？ちゃんと考えてから発言してほしいんだけど。
[B] まあまあ、Cにもちゃんと意見はあると思うし、みんなで落ち着いて話そうよ。家庭で作る発酵食品っていろんな工夫もできるし、面白いよね。
[C] A、いちいち文句言わないでくれる？こっちだってちゃんと考えてるんだけど、あんたがすぐ否定するから話す気なくなるんだよ。Bはまあ、話せば分かってくれるからいいけどさ。
[ロボット] Aさん、Cさんの考えている工夫の部分って実際に試してみると面白そうですよ。
[A] ロボット、なんでそんな適当なまとめ方するわけ？Cが本当に考えてるなら、具体的なアイデアくらい出してほしいよ。
[B] A、そんなに詰めなくてもいいじゃん。C、よかったらどんな工夫してるか教えてよ、ちょっと興味あるし。
[C] Bがそう言うなら話すけど、例えばヨーグルトに果物入れて自分好みにしてるし、キムチも辛さを調整して作ってる。Aにはどうせ何言っても文句言われそうだけどね。
[ロボット] Aさん、Bさんと一緒にその発酵食品の工夫を試してみたら、きっといろんな発見があって楽しそうですね。
[A] …まあ、Bと一緒ならやってみてもいいかも。Cが本当に工夫してるなら、どんな味になるかくらいは知りたいし。
[B] じゃあ今度みんなで作ってみようよ！Cのオリジナルレシピ、ちょっと楽しみだな。
[C] まあ、みんなでやるなら仕方ないか。Bが協力してくれるなら、ちょっとは面白くなるかもね。
[ロボット] Cさん、Aさんがその味に興味持ってくれているみたいだし、二人で工夫を相談しながら作ったらもっと楽しくなりそうですね。
[A] …まあ、実際に作ってみれば文句言う必要もなくなるかもしれないしな。とりあえず、試してみるか。
[B] うんうん、実際に作って食べてみたら、きっと新しい発見があると思うよ。みんなでやれば絶対楽しいって！
[C] …まあ、みんなで作るなら悪くないかもね。Aがちゃんと手伝うなら、色々工夫してみるつもりだよ。
[ロボット] Aさん、Cさんがいろいろ試すって言ってるし、一緒に味の変化を探してみるの、きっと面白いと思いますよ。
[A] 分かったよ、ちゃんと手伝うよ。せっかくだし、普段食べない味も試してみたいしな。
[B] それいいね！普段は食べない組み合わせとか、意外とハマるかもしれないし。
[C] じゃあ、普段やらない組み合わせも色々考えてみるよ。Aがちゃんと協力するなら、面白いものができそうだね。
[ロボット] Cさん、Aさんがお互いに協力して新しい組み合わせを試すって楽しそうですね、きっと二人の発想がうまく混ざり合いそうです。
[A] そうだな、Cのアイデアが気になるし、自分も何か面白い組み合わせ考えてみるよ。Bも手伝ってくれるなら心強いし。
[B] もちろん手伝うよ！みんなでアイデア出し合うのも楽しそうだし、どんな味になるかワクワクしてきた。
[C] じゃあ、今度集まる時までにいくつかレシピ考えとくよ。みんなで作れば、きっと新しい発見もあるよね。
[A] 楽しみにしてるよ。Cのレシピも気になるし、みんなで作るのはやっぱり面白そうだな。
[B] 私もすごく楽しみ！みんなでワイワイ作るのって、やっぱり特別感あるよね。
[C] ほんとだね、みんなで作るといつもと違う雰囲気になるし、出来上がりも楽しみだよ。Bがいると場が和むし、助かるよ。
